RequestId,69bd9827620f00a58b1a07d2
X,HFCT
30000,11.36718178
30135,16.49969864
30270,9.895959854
30405,11.91911983
30540,10.22509003
30675,24.03094101
30810,25.77863121
30945,33.57772827
31080,24.7682209
31215,15.55399036
31350,14.7781086
31485,28.47617722
31620,27.57569313
31755,18.53370476
31890,27.20261765
32025,29.86591911
32160,18.90810204
32295,28.11629677
32430,16.03582954
32565,25.95430565
32700,32.82927322
32835,26.68238258
32970,16.27571106
33105,20.75260353
33240,25.05617523
33375,22.95467949
33510,17.16484451
33645,25.84366035
33780,32.14698792
33915,19.2093029
34050,11.53207302
34185,23.06777
34320,29.9170475
34455,25.74896049
34590,26.4059391
34725,31.55966377
34860,17.99702454
34995,27.61549568
35130,24.63964081
35265,28.59623337
35400,30.66499519
35535,23.92695236
35670,23.54843903
35805,28.45706177
35940,29.4294796
36075,19.42098999
36210,16.52798653
36345,15.13579941
36480,21.18301773
36615,28.11970901
36750,16.55575562
36885,23.54228401
37020,27.81118584
37155,20.1565876
37290,11.56502819
37425,8.038167953
37560,19.57389832
37695,20.49417496
37830,23.61227417
37965,23.67391396
38100,28.56915474
38235,23.50301552
38370,25.29463959
38505,29.53751945
38640,28.99921608
38775,19.01665878
38910,15.93048096
39045,18.84509468
39180,25.25457764
39315,24.16605949
39450,26.24450111
39585,15.03350735
39720,16.26890945
39855,18.68517685
39990,18.77568436
40125,25.74547005
40260,21.9040432
40395,14.80560589
40530,9.490321159
40665,15.44431782
40800,11.16701031
40935,11.3450222
41070,21.55177116
41205,14.50177288
41340,20.04210472
41475,25.42023277
41610,21.6318264
41745,16.64367485
41880,11.7220068
42015,7.074041367
42150,19.2672081
42285,24.14840698
42420,27.35296822
42555,28.06196976
42690,26.0709343
42825,17.9053936
42960,19.91970444
43095,17.98431778
43230,15.90282631
43365,9.359078407
43500,19.63246918
43635,21.59064484
43770,18.29762077
43905,23.86118698
44040,24.5080986
44175,21.84799767
44310,24.79672241
44445,26.89175034
44580,28.17780113
44715,21.92812347
44850,23.31176376
44985,19.98191643
45120,12.44262505
45255,19.67899323
45390,11.25625515
45525,10.92880154
45660,9.407977104
45795,16.1524353
