site,spectrum id,org,running state,label source,B2 mean,B2 power,B2 log,B2 std,B2 max,mean power,std power,total power,log total,max power,B1 mean,B1 power,B1 log,B1 std,spectral slope,B1 max,B4 B2 ratio,B3 power,B3 log,B3 mean,B3 std,B3 max,B4 frac,B4 B1 ratio,log B4 B1,band gradient,spectral spread,peak to mean,crest factor,log hi lo,hi lo ratio,spectral kurtosis,spectral skew,B3 B2 ratio,spectral flatness,band range,spectral centroid,B4 mean,B4 power,B4 log,spectral entropy,B4 std,B2 B1 ratio,log B2 B1,spectral slope norm,lr B2 B4,clr B2,clr B4,ilr 3,alr B4,lr B1 B4,band gradient proper,lr B3 B4,ssn_B1,rolloff_norm_B3,curvature_B2,flat_fraction,vote_ssn_B1,wvote_ssn_B1,vote_lr_B2_B4,wvote_lr_B2_B4,vote_spectral_spread,wvote_spectral_spread,vote_rolloff_norm_B3,wvote_rolloff_norm_B3,vote_curvature_B2,wvote_curvature_B2,total_votes,weighted_score,weighted_score_norm,prediction,flat_override
Harq_ST2_PT,HARQST-2 EMI PT_20250411_1508 – HARQST-2 EMI - PT HFCT,Har,ON,cluster,49201.8466,98403693.1109,18.4046,128822.86,771969.8782,672098.2252,2095231.8334,5376785801.6365,22.4054,15020281.7941,2638808.5271,5277617054.1458,22.3867,3519165.0605,-0.0016,15020281.7941,0.007,75114.1314,11.2268,37.5571,83.7227,792.5901,0.0001,0.0001,0.0001,-2.9808,564.3591,22.3483,4.7274,0.0001,0.0001,23.987,4.7603,0.0008,0.0023,11.16,488.2745,344.9701,689940.2484,13.4444,0.7858,629.2155,0.0186,0.0185,-0.0016,4.9602,2.039,-2.9213,3.3732,8.961,8.9424,-2.9808,-2.2176,-0.093351841603016,0.2019999999999999,-0.0508179764943793,0.03325,0.0,0.0,1.0,0.839,0.0,0.0,1.0,0.738,1.0,0.719,3.0,2.296,0.5666337611056269,ON,0
Harq_ST2_PT,HARQST-2 EMI PT_20250505_1149 – HARQST-2 EMI - PT HFCT,Har,OFF,cluster,1348.2942,2696588.4043,14.8075,6770.6406,128733.9493,6566.7634,14505.1853,52534106.823,17.777,128733.9493,24882.4204,49764840.8344,17.7228,18635.8456,-0.0012,90583.7866,0.0213,15373.7181,9.6405,7.6869,24.6408,337.7428,0.0011,0.0012,0.0012,-2.2556,618.0777,19.6039,4.4276,0.0014,0.0014,9.2344,2.8823,0.0057,0.018,8.0823,979.8741,28.6519,57303.8662,10.9561,0.8318,23.9547,0.0542,0.0528,-0.0013,3.8514,1.5258,-2.3256,2.6854,6.8208,6.7667,-2.2556,-1.3157,-0.0239747872482715,0.1745,-1.7897917074084293,0.024375,1.0,0.945,1.0,0.839,0.0,0.0,1.0,0.738,0.0,0.0,3.0,2.522,0.6224086870681145,ON,0
Harq_ST2_PT,HARQST-2 EMI PT_20250528_1909 – HARQST-2 EMI - PT HFCT,Har,ON,cluster,42036.1515,84072302.9968,18.2472,115010.5057,853421.6413,703442.7708,2296320.6335,5627542166.4004,22.4509,17577801.4093,2771322.8444,5542645688.7223,22.4357,3921282.3466,-0.0016,17577801.4093,0.0089,76725.3588,11.248,38.3627,94.1501,1287.8982,0.0001,0.0001,0.0001,-2.9704,538.2235,24.9882,4.9988,0.0001,0.0001,25.835,4.961,0.0009,0.0021,11.1877,460.2319,373.7247,747449.3225,13.5244,0.7789,762.0375,0.0152,0.0151,-0.0017,4.7228,1.8834,-2.8394,3.2787,8.9265,8.9113,-2.9704,-2.2764,-0.0966336494620409,0.182,0.1325425452932445,0.028625,0.0,0.0,1.0,0.839,1.0,0.811,1.0,0.738,1.0,0.719,4.0,3.107,0.766781836130306,ON,0
Harq_ST2_PT,HARQST-2 EMI PT_20250605_1954 – HARQST-2 EMI - PT HFCT,Har,ON,cluster,19290.7475,38581495.0087,17.4683,48977.8538,275346.8049,649637.1045,2161025.1381,5197096835.6208,22.3714,15514165.0571,2578904.1752,5157808350.3007,22.3638,3703338.2159,-0.0016,15514165.0571,0.0166,68095.9406,11.1287,34.048,78.4586,728.611,0.0001,0.0001,0.0001,-2.9988,504.1089,23.8813,4.8868,0.0001,0.0001,25.6464,4.9553,0.0018,0.002,11.2351,428.5642,319.4472,638894.3709,13.3675,0.7733,548.3741,0.0075,0.0075,-0.0016,4.1008,1.3862,-2.7146,3.1345,9.0039,8.9963,-2.9988,-2.2388,-0.1047837586829998,0.226,0.5413748402016596,0.060375,0.0,0.0,1.0,0.839,1.0,0.811,1.0,0.738,1.0,0.719,4.0,3.107,0.766781836130306,ON,0
Harq_ST2_PT,HARQST-2 EMI PT_20250616_1917 – HARQST-2 EMI - PT HFCT,Har,ON,cluster,12486.5485,24973097.0056,17.0333,27770.3933,205492.7207,685933.9135,2278692.9787,5487471308.3367,22.4257,17696979.7281,2730962.5774,5461925154.7632,22.4211,3897781.9434,-0.0017,17696979.7281,0.0202,69669.1609,11.1515,34.8346,93.6564,939.4862,0.0001,0.0001,0.0001,-3.0973,470.0322,25.7998,5.0794,0.0001,0.0001,25.438,4.8905,0.0028,0.0016,11.2695,413.0024,251.6937,503387.407,13.1291,0.7704,489.6883,0.0046,0.0046,-0.0017,3.9042,1.0996,-2.8046,3.2385,9.2966,9.292,-3.0973,-1.9776,-0.1155849855781587,0.142,0.2033497087343431,0.024,0.0,0.0,1.0,0.839,1.0,0.811,1.0,0.738,1.0,0.719,4.0,3.107,0.766781836130306,ON,0
Harq_ST2_PT,HARQST-2 EMI PT_20250702_1519 – HARQST-2 EMI - PT HFCT,Har,ON,cluster,35220.4576,70440915.1851,18.0703,87418.6391,598890.8288,648226.6304,2184735.2589,5185813043.1178,22.3692,16798222.5714,2557298.9265,5114597853.0687,22.3554,3771525.2831,-0.0016,16798222.5714,0.0098,84978.0246,11.3502,42.489,101.5071,1007.1198,0.0001,0.0001,0.0001,-2.9706,527.2297,25.9141,5.0906,0.0001,0.0001,29.8985,5.3171,0.0012,0.0026,11.0052,444.014,344.6484,689296.8394,13.4434,0.7761,521.5652,0.0138,0.0137,-0.0016,4.6269,1.7655,-2.8614,3.304,8.9258,8.9119,-2.9706,-2.0933,-0.100860047386644,0.1694999999999999,-0.2280448372376047,0.009875,0.0,0.0,1.0,0.839,1.0,0.811,1.0,0.738,1.0,0.719,4.0,3.107,0.766781836130306,ON,0
Harq_ST2_PT,HARQST-2 EMI PT_20250713_1131 – HARQST-2 EMI - PT HFCT,Har,ON,cluster,26839.1348,53678269.6438,17.7985,70664.1861,494643.8366,647175.8764,2140981.5451,5177407011.1217,22.3676,16316720.0133,2561468.9419,5122937883.7991,22.357,3666567.4531,-0.0016,16316720.0133,0.0131,87517.4911,11.3796,43.7587,86.4362,707.7985,0.0001,0.0001,0.0001,-2.9645,511.1736,25.2122,5.0212,0.0002,0.0002,26.8387,5.0359,0.0016,0.0024,10.9774,438.1034,351.6701,703340.1878,13.4636,0.7759,661.3214,0.0105,0.0104,-0.0016,4.3349,1.5488,-2.7861,3.2171,8.904,8.8934,-2.9645,-2.084,-0.1027258682714394,0.2775,-0.0614202680482341,0.018375,0.0,0.0,1.0,0.839,1.0,0.811,1.0,0.738,1.0,0.719,4.0,3.107,0.766781836130306,ON,0
Harq_ST2_PT,HARQST-2 EMI PT_20250921_1159 – HARQST-2 EMI - PT HFCT,Har,ON,cluster,43086.1176,86172235.2099,18.2719,115130.3668,836439.5264,675331.85,2157537.9952,5402654800.1869,22.4102,15995644.8277,2657896.6632,5315793326.4894,22.3939,3655768.9713,-0.0017,15995644.8277,0.0064,139593.833,11.8465,69.7969,138.878,1160.0039,0.0001,0.0001,0.0001,-3.059,547.2439,23.6856,4.8668,0.0001,0.0001,24.6816,4.8549,0.0016,0.0025,10.5474,472.9704,274.8223,549644.6546,13.217,0.7825,523.6931,0.0162,0.0161,-0.0017,5.0548,1.8395,-3.2153,3.7127,9.1931,9.1769,-3.059,-1.3705,-0.0934691797719605,0.2805,-0.3475213209298437,0.013125,0.0,0.0,1.0,0.839,0.0,0.0,1.0,0.738,0.0,0.0,2.0,1.577,0.3891905231984205,ON,0
Harq_ST2_PT,HARQST-2 EMI PT_20251117_1821 – HARQST-2 EMI - PT HFCT,Har,OFF,cluster,718.0653,1436130.6837,14.1775,1230.2271,18365.2828,8008.939,17065.5871,64071512.2228,17.9755,90236.5627,31289.3962,62578792.3622,17.9519,20986.9658,-0.0013,90236.5627,0.0309,12170.8993,9.4069,6.0854,21.9812,379.6607,0.0007,0.0007,0.0007,-2.4168,592.434,11.267,3.3566,0.0009,0.0009,5.8132,2.4768,0.0085,0.0138,8.5451,774.4623,22.2091,44418.2776,10.7014,0.8322,18.3324,0.0229,0.0227,-0.0013,3.4761,1.1181,-2.358,2.7228,7.2741,7.2505,-2.4168,-1.2946,-0.0727595728813142,0.171,-1.6490035173266362,0.0475,1.0,0.945,1.0,0.839,0.0,0.0,1.0,0.738,0.0,0.0,3.0,2.522,0.6224086870681145,ON,0
Harq_ST3_PT,HARQST-3 EMI PT_20250402_1159 – HARQST-3 EMI - PT HFCT,Har,OFF,cluster,5.4759,10951.8448,9.3014,14.2306,150.6357,238.804,901.0724,1910432.3151,14.4628,9404.865,942.1481,1884296.205,14.4491,1608.698,-0.0006,9404.865,1.2961,989.5257,6.8982,0.4948,0.1571,3.3432,0.0074,0.0075,0.0075,-1.6295,750.8912,39.3832,6.2756,0.008,0.008,55.7609,7.0427,0.0904,0.0293,7.5508,517.2985,7.0974,14194.7396,9.5607,0.771,0.3024,0.0058,0.0058,-0.0007,-0.2594,-0.7508,-0.4914,0.5674,4.9022,4.8884,-1.6295,-2.6634,-0.1479806569030935,0.8275,0.5381963399636175,0.34425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.719,1.0,0.719,0.1774432379072063,OFF,0
