site,spectrum_id,running_state,label_source,ssn_B1,lr_B2_B4,spectral_spread,rolloff_norm_B3,curvature_B2,flat_fraction,flat_override,vote_ssn_B1,vote_lr_B2_B4,vote_spectral_spread,vote_rolloff_norm_B3,vote_curvature_B2,total_votes,weighted_score,weighted_score_norm,prediction
OPPD_NC1,20251025_0046,ON,cluster,-0.0498537913819633,0.85,451.42,0.144,2.8262229989120478,0.016,0,1.0,0.0,1.0,1.0,1.0,4.0,3.213,0.7929417571569595,ON
OPPD_NC1,20251024_0206,ON,cluster,-0.0553932163230224,0.79,450.71,0.144,2.337491964221245,0.018,0,1.0,0.0,1.0,1.0,1.0,4.0,3.213,0.7929417571569595,ON
OPPD_NC1,20251026_0450,ON,cluster,-0.0538164502112211,0.66,447.76,0.144,2.918399198882057,0.027,0,1.0,0.0,1.0,1.0,1.0,4.0,3.213,0.7929417571569595,ON
OPPD_NC1,20251024_0625,ON,cluster,-0.0512857231041707,1.86,400.45,0.144,2.187326106240111,0.0185,0,1.0,0.0,1.0,1.0,1.0,4.0,3.213,0.7929417571569595,ON
OPPD_NC1,20251023_0955,ON,cluster,-0.0455696981307109,1.13,415.4,0.144,1.288079078729756,0.0155,0,1.0,0.0,1.0,1.0,1.0,4.0,3.213,0.7929417571569595,ON
OPPD_NC1,20251022_2002,ON,cluster,-0.1370529002645296,3.49,454.03,0.144,0.7454337837691992,0.1195,0,0.0,1.0,1.0,1.0,1.0,4.0,3.107,0.766781836130306,ON
OPPD_NC1,20251022_1233,ON,cluster,-0.1407535628916224,3.36,483.39,0.144,0.8246084370636605,0.0975,0,0.0,0.0,1.0,1.0,1.0,3.0,2.268,0.5597235932872655,ON
OPPD_NC1,20251023_0122,ON,cluster,-0.1384165158686509,3.42,480.37,0.144,0.9241838394470476,0.082,0,0.0,0.0,1.0,1.0,1.0,3.0,2.268,0.5597235932872655,ON
OPPD_NC1,20251023_0850,ON,cluster,-0.1081446106426635,4.68,429.03,0.144,0.8931381076025541,0.0775,0,0.0,1.0,1.0,1.0,1.0,4.0,3.107,0.766781836130306,ON
SQN2,SQN NG Unit 2 20250527_1433,ON,cluster,0.0223684586129668,5.29,282.13,0.246,-2.4163249940530656,0.1275,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
SQN2,SQN NG Unit 2 20250526_1808,ON,cluster,-0.0359230488484997,3.37,205.77,0.752,-1.5549273603911091,0.084,0,1.0,0.0,1.0,0.0,0.0,2.0,1.756,0.4333662388943732,ON
SQN2,SQN NG Unit 2 20250526_0756,ON,cluster,0.0078391391619761,3.23,213.36,0.742,-1.010996148503165,0.05,0,1.0,0.0,1.0,0.0,0.0,2.0,1.756,0.4333662388943732,ON
SQN2,SQN NG Unit 2 20250525_1439,ON,cluster,0.0461221949819617,5.19,300.51,0.244,-0.9644108672694098,0.1145,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
SQN2,SQN NG Unit 2 20250527_0926,ON,cluster,-0.0613162733548398,4.36,216.19,0.25,-1.91372254052914,0.126,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
SQN2,SQN NG Unit 2 20250526_1100,ON,cluster,-0.0005472360779677,3.88,208.24,0.75,-2.0188649448060163,0.1,0,1.0,1.0,1.0,0.0,0.0,3.0,2.595,0.6404244817374136,ON
