site,spectrum_id,org,running_state,label_source,B2_mean,B2_power,B2_log,B2_std,B2_max,mean_power,std_power,total_power,log_total,max_power,B1_mean,B1_power,B1_log,B1_std,spectral_slope,B1_max,B4_B2_ratio,B3_power,B3_log,B3_mean,B3_std,B3_max,B4_frac,B4_B1_ratio,log_B4_B1,band_gradient,spectral_spread,peak_to_mean,crest_factor,log_hi_lo,hi_lo_ratio,spectral_kurtosis,spectral_skew,B3_B2_ratio,spectral_flatness,band_range,spectral_centroid,B4_mean,B4_power,B4_log,spectral_entropy,B4_std,B2_B1_ratio,log_B2_B1,spectral_slope_norm,lr_B2_B4,clr_B2,clr_B4,ilr_3,alr_B4,lr_B1_B4,band_gradient_proper,lr_B3_B4,lr_B2_B3,band_range_proper,ilr_2,clr_B1
HARQCT1,HARQCT1_off_2025-01-30,HAR,OFF,cluster,418.11844928060935,836236.8985612188,13.636668419242103,931.8474031937362,7828.6590816841,427.09822440241754,892.0571351450294,3416785.7952193404,15.04421113383889,7828.6590816841,1101.8386172472083,2203677.2344944165,14.605638446988426,1224.3599346356011,-0.0004225152083922737,5457.5082375024995,0.41621698653297995,28815.6602164532,10.26870897860709,14.407830108226602,24.04941180153498,259.4222414281,0.1018664975820963,0.15794327612906867,0.14664539360653103,-0.6151723009821192,1836.5408410768207,18.32987971943897,4.281340878657745,0.11687101388807095,0.12397444324677699,13.991084090053914,3.5581621129572722,0.034458728460795396,0.17299786925447405,4.336929468381335,2317.3643276530015,174.02800097362595,348056.0019472519,12.760121544042068,0.8689701381481716,354.083873168847,0.37947340267037555,0.32170183407641323,-0.00043974934468272764,0.8765485524641026,0.8188926825560436,-0.05765586990805893,0.06657526402355973,2.2840921702208803,1.8455193222562336,-0.6151731074187445,-2.491444395088104,3.3679929475522066,4.336963717344338,3.1455353865421625,1.7878634523481747
HARQCT1,HARQCT1_on_2025-01-11,HAR,ON,cluster,48355.64151893335,96711283.0378667,18.3872406448035,105546.19398720257,500176.39459225,213021.2762728679,601394.2839528781,1704170210.182943,21.25634414955681,3452085.964441,800963.7041758831,1601927408.351766,21.194473372051434,986489.3781900451,-0.0012388547013811035,3452085.964441,0.01613887259854685,3970707.7175203576,15.194455154997977,1985.3538587601788,4979.963725480371,43972.70599089,0.0009158774554700133,0.0009743332111384996,0.0009738588566298989,-2.3112521889556183,539.9285450707467,16.20535762831069,4.025587861207811,0.0032511515196125673,0.003256442244810312,13.005470649667892,3.6410449181755697,0.041057336773886156,0.015249195359861979,6.933756566866855,806.2753873230566,780.4055378950759,1560811.0757901517,14.260716805184579,0.795382669856663,910.5724493472475,0.06037182617243158,0.05861962602321715,-0.0012434388202771187,4.126524469971194,1.1280193660792932,-2.998505103891901,3.4623754577969126,6.995627984477764,6.933757206934935,-2.311252402311645,0.9337387386614822,3.192785731309712,6.933757206934935,3.7529465990488475,3.935252103043034
HARQCT2,HARQCT2_off_2025-01-30,HAR,OFF,cluster,284.0182672131477,568036.5344262953,13.249942777256422,713.7625328811664,4396.3079377156,271.0774718920659,519.1277776962362,2168619.775136527,14.589601935950595,4396.3079377156,636.2839249400143,1272567.8498800287,14.056548131939232,499.35172934564605,-0.00041946448195034523,3612.6963746041,0.5515208292464785,14731.410320565335,9.597805129509787,7.365705160282667,15.076339188130284,302.68414075239997,0.14446238298731492,0.24618253599517415,0.22008490722395987,-0.46722653193058744,2193.621123964189,16.217902236687685,4.027145668646301,0.16399692944533595,0.178210697326816,15.227379743075474,3.4535085437910666,0.02593391345051038,0.15609289905044896,4.458743002429445,2237.081127610507,156.64199025481886,313283.98050963774,12.65486853614747,0.8766869516637331,320.55515352718555,0.4463703326147997,0.3690571992554285,-0.00044969480649242194,0.5950756726473898,0.8601682776214421,0.2650926049740523,-0.30610257368389593,1.934736130667476,1.4016820019663871,-0.46722733398879573,-3.0571280945099844,3.652203767157374,4.4588100964763715,3.3113075437571697,1.6667746069404394
HARQCT2,HARQCT2_on_2025-04-12,HAR,ON,cluster,39804.153333567745,79608306.66713549,18.192629013046265,103605.7114854962,461168.93247364,83794.3168922421,206402.30510964943,670354535.1379368,20.32331728880917,1022796.4595559998,294034.8560419739,588069712.0839479,20.192356058501836,315772.4061191655,-0.0010879769682706204,1022796.4595559998,0.030727436423023963,230357.2049943998,12.347390789414524,115.1786024971999,229.40646422246556,2214.8196078969,0.0036490529319022098,0.004159641504389932,0.004151014111965691,-1.8274419927160548,715.837591878469,12.206036130962143,3.4937138020956624,0.004000679877294267,0.004008693279823636,8.85329959977739,3.063591036898519,0.002893632770730629,0.013137232869370389,7.844965269087313,913.8590986263767,1223.0795909295157,2446159.1818590313,14.710030080353672,0.8141036395879455,2193.5054149796806,0.13537222718889347,0.12696055063877196,-0.001097164733776698,3.482599328935148,1.8320287061908687,-1.6505706227442793,1.9059147867157957,5.61328761576781,5.482326385251742,-1.8274421284172473,-2.362643223209771,5.845242552144919,7.844969608461513,5.589005710655164,3.8317557625074627
HARQCT3,HARQCT3_off_2025-04-30,HAR,OFF,cluster,195.57465409352224,391149.30818704446,12.876847185012812,646.5586766155332,11739.48413121,344.31316220486735,907.8780665840517,2754505.2976389388,14.828748782201584,14510.732060249999,1040.9838461047502,2081967.6922095004,14.548824490680637,1474.3423290891162,-0.0004700535159855657,14510.732060249999,0.6742705150719944,17647.8517403866,9.778426003043238,8.8239258701933,13.059737193668909,87.24008325759999,0.09574875231791193,0.12667845254696736,0.11927388161260709,-0.6886999871832783,1929.9827438411514,42.14399463361745,6.4918406198223515,0.10775856265689529,0.11377880512614706,52.07824791670612,6.1165468991384815,0.045117941847163945,0.14305839659020655,4.770398487637399,1425.8547395412936,131.87022275100352,263740.44550200703,12.482724529130802,0.8433880485821915,199.79523750661585,0.18787482132911829,0.17216584613713964,-0.0004924966901480722,0.394123890916136,0.4551549492293585,0.06103105831322253,-0.07047259589213355,2.346027681628609,2.0661032728344573,-0.6887010909448191,-2.704351397003487,3.098475287919623,4.770454669837944,3.2124772030344055,2.12713433114768
HARQCT3,HARQCT3_on_2025-07-04,HAR,ON,cluster,33836.34391167193,67672687.82334386,18.030193241767236,103511.40012125055,662210.70842689,183319.45227114137,522016.6887313549,1466555618.169131,21.106182372133187,2843128.8009639997,698230.5640141314,1396461128.0282629,21.05720710839589,851494.2530161364,-0.0011856369658981285,2843128.8009639997,0.019568708844346448,1097535.1927951074,13.908578400877566,548.7675963975537,749.0378619221677,4785.9443474704,0.0009029777720824654,0.0009483021747975086,0.0009478528203502405,-2.3202788674314987,470.56206501321645,15.509149551455272,3.938165759772947,0.0016527188726787338,0.0016540853652204325,11.635070450619365,3.4894045286267534,0.016218288767547575,0.012994519381959679,7.1486287075183235,764.3208988819122,662.1335623646924,1324267.1247293847,14.096370506101394,0.7882230398540766,766.4126435552557,0.04846013001371148,0.04732254489884515,-0.001187611755388858,3.933823476023205,1.2571063331445984,-2.6767171428786067,3.0908067259708982,7.009812620484295,6.960837356712771,-2.320279118904257,-0.18779226122155634,4.1216157372447615,7.148629617934327,4.601058399360156,4.284120213834164
HARQST1,HARQST1_off_2025-04-21,HAR,OFF,cluster,11.732085333682397,23464.170667364793,10.063272501475659,24.709448473827976,277.68889600000006,1029.9777352630235,3734.9963825950276,8239821.882104188,15.924489406764367,64857.36917521,3506.834765291591,7013669.530583181,15.76337173546567,6797.529062564169,-0.0003571097367808751,64857.36917521,50.43631174285868,19241.95423635397,9.86490025902067,9.620977118176985,11.294375266156989,71.60365006723599,0.1436252195193172,0.16873424410099286,0.1559213205467827,-0.5931432064893709,2020.5195400293503,62.96968075590604,7.93534377046891,0.1577777848829223,0.170905972788288,78.37293994025654,7.700030233457835,0.8200568649245565,0.039993161852953193,5.898471476445,1555.4247397956278,591.7231133086436,1183446.2266172874,13.983942115997557,0.7798742034187608,1090.3267663744364,0.003345491338741536,0.0033399076326206425,-0.00036592534798162937,-3.920711386793702,-2.355617875462398,1.5650935113313036,-1.8072143201481288,1.9405480143944214,1.7794303218788574,-0.5931434406262858,-4.1190929804103735,0.19838159361667174,5.898523302289231,2.4890510008743423,3.344523833210161
HARQST1,HARQST1_on_2025-07-04,HAR,ON,cluster,415.77705205071084,831554.1041014217,13.631052846136596,931.8571011312303,5697.5610071961,2114.7992432211245,9376.500421889312,16918393.945768997,16.643912046281557,303000.81711601,6402.262276765907,12804524.553531814,16.36530922527231,17868.902530285843,-0.00035190028795373127,303000.81711601,3.6788956893442553,223114.47909683676,12.315444759891163,111.55723954841838,222.9180759625586,1806.5823652880997,0.18082099393388207,0.23891561113800813,0.2142364898657265,-0.47721487736315815,2463.6063742697315,143.27639755274575,11.969811926347438,0.21568230657072507,0.24070815155485606,357.9661495510564,16.057360438442505,0.2683102374170424,0.11171380286527288,4.049864465381146,1788.5234321038686,1529.6004045194616,3059200.809038923,14.933664593182835,0.7979909697610936,2415.5456957357296,0.06494220856267505,0.06292053342863119,-0.00035481676820905614,-1.302612622730381,-0.6803146901657389,0.622297932564642,-0.7185677577646863,1.7102477208741664,1.4316448808747904,-0.47721496029159677,-2.618223988402976,1.315611365672595,4.049868869277766,2.190448133436131,2.0539428134394324
HARQST2,HARQST2_off_2025-04-21,HAR,OFF,cluster,22.437171228243947,44874.342456487895,10.71164375710381,88.48717132414967,1584.2421904516,129.37792687891073,258.66875281029564,1035023.4150312857,13.84993557380559,2766.5369804944003,312.00986192573015,624019.7238514603,13.343938858100499,312.12912665795807,-0.00026524447552326495,2103.3184578025002,7.814973768133487,15437.539555830754,9.644622230752077,7.7187697779153766,15.800873586839696,201.66158457760002,0.3388250005502593,0.5619883406929335,0.4459595870445228,-0.19209097546989481,2761.9020086536448,21.383376957968725,4.624216361461611,0.4365536273974845,0.5473652214373658,19.175458292587376,3.6845847210342613,0.3440170643270293,0.15731307941647085,3.6993166273484217,2752.298957782565,175.34590458375334,350691.8091675067,12.767665931690814,0.8684749295208446,316.9055088185438,0.07191173730767801,0.06944372465788429,-0.00028543143656854303,-2.056041607285289,-0.9053233431889165,1.1507182640963727,-1.3287349990749198,1.0822715274560348,0.5762741754000285,-0.19209139180000948,-3.123105624500228,1.067064017214939,3.6993797999002567,1.9458925399293283,1.7269924394964011
HARQST2,HARQST2_on_2025-06-29,HAR,ON,cluster,84.5572492381307,169114.4984762614,12.03833718341456,176.75721678266726,3950.3563054596,910.1771960558475,5619.313042846121,7281417.56844678,15.800836259493584,267354.04255641,2734.906771834029,5469813.543668058,15.514755269557964,10984.289861111716,-0.0002494504562702147,267354.04255641,7.141859135156106,434697.6004652879,12.98240819743015,217.34880023264395,571.9690755708606,4698.2346970689005,0.16587318533564205,0.2208104382708092,0.19951493186439234,-0.5034833485946493,2370.4497228431073,293.7384541328105,17.138799670073034,0.25563158019735227,0.29127690831067576,905.7197915401833,25.58411183375278,2.5704336670089583,0.13835969608736381,3.476418086143404,1768.2746681934177,603.8959629185863,1207791.9258371727,14.004305223774017,0.7695380910652307,841.7809114326326,0.03091778122345689,0.03044945522390859,-0.0002533410811178852,-1.9659731255387012,-1.5966178921752903,0.3693552333634109,-0.42649468681792463,1.7965317263405218,1.5104506909192157,-0.5034835636397386,-1.0218984988341635,-0.9440746267045377,3.476423816457917,0.6484103751519286,1.8798059242826266
